participant_id	session	age	sex	education	WB01	WB02	WB03	WB04	WB05
sub-001	ses-01	28	f	4	4	5	2	4	5
sub-001	ses-01	28	f	4	3	4	3	3	4
sub-002	ses-01	34	m	5	5	5	1	5	5
sub-002	ses-01	34	m	5	2	3	4	2	3
sub-003	ses-01	22	f	3	4	4	4	4	4
sub-003	ses-01	22	f	3	1	2	3	4	5
sub-004	ses-02	25	m	4	5	5	5	5	5
sub-004	ses-02	25	m	4	1	1	1	1	1
sub-005	ses-01	30	f	5	2	2	2	2	2
sub-005	ses-01	30	f	5	4	4	4	4	4
sub-006	ses-02	40	m	2	3	3	3	3	3
sub-006	ses-02	40	m	2	5	5	5	5	5
sub-007	ses-03	19	f	1	1	2	3	2	1
sub-007	ses-03	19	f	1	4	5	4	5	4
